COMPLEX_CATEGORY,COMPLEX_NAME,FACILITY_TYPE,FACILITY_NAME,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,260","3,038",2.72,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,232","2,899",2.84,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,344","3,027",2.76,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,597","2,955",2.57,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,728","2,755",3.17,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,269","2,913",2.5,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,446","2,956",2.86,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,477","2,527",3.35,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"8,432","3,014",2.8,2.1,"3,565"
Arenas (except Leisure Centre arenas),Ernie Starr Arena,Arena,Ice,4808 14 AV SE,Municipal,Recreation,Recreation,Recreation,Forest Lawn,EAST,"7,838","1,880",4.17,2.1,"3,565"
