COMPLEX_NAME,FACILITY_TYPE,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6346.0,2520.0,2.52,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6530.0,2524.0,2.59,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,9049.0,2083.0,4.34,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,8563.0,2213.0,3.87,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,7452.0,2453.0,3.04,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6820.0,2444.0,2.79,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6049.0,2496.0,2.42,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6389.0,2513.0,2.54,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6255.0,2510.0,2.49,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6254.0,2470.0,2.53,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6430.0,2501.0,2.57,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6106.0,2506.0,2.44,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,7756.0,2505.0,3.1,2.9,2506.0
