COMPLEX_NAME,FACILITY_TYPE,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,9086.0,2088.0,4.35,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6066.0,2469.0,2.46,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,8383.0,2216.0,3.78,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6306.0,2504.0,2.52,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6537.0,2526.0,2.59,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,9027.0,2170.0,4.16,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,7133.0,3049.0,2.34,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6414.0,2522.0,2.54,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6384.0,2521.0,2.53,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,8087.0,2386.0,3.39,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6452.0,2505.0,2.58,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,8836.0,2219.0,3.98,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6059.0,2495.0,2.43,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6401.0,2475.0,2.59,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6195.0,2491.0,2.49,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6228.0,2493.0,2.5,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6206.0,2525.0,2.46,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6941.0,2868.0,2.42,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,6225.0,2504.0,2.49,2.9,2506.0
Brentwood Sportsplex,Arena,1520B NORTHMOUNT DR NW,Not-for-Profit,CA,Recreation,Brentwood CA,Brentwood,NORTHWEST,8944.0,2088.0,4.28,2.9,2506.0
